Poll,Date,Sample,Republicans (R),Democrats (D),Spread
CBS News/NY TimesCBS News/NY Times,9/12 - 9/15,470 LV,49,42,Republicans +7
Rasmussen ReportsRasmussen Reports,9/8 - 9/14,3500 LV,38,41,Democrats +3
FOX NewsFOX News,9/7 - 9/9,833 LV,47,40,Republicans +7
CNN/Opinion ResearchCNN/Opinion Research,9/5 - 9/7,LV,49,45,Republicans +4
ABC News/Wash PostABC News/Wash Post,9/4 - 9/7,LV,47,44,Republicans +3
Pew ResearchPew Research,9/2 - 9/9,1150 LV,47,44,Republicans +3
Rasmussen ReportsRasmussen Reports,9/1 - 9/7,3500 LV,41,39,Republicans +2
GWU/BattlegroundGWU/Battleground,8/23 - 8/28,1000 LV,46,42,Republicans +4
Rasmussen ReportsRasmussen Reports,8/25 - 8/31,3500 LV,41,40,Republicans +1
USA Today/Pew ResearchUSA Today/Pew Research,8/20 - 8/24,1171 RV,42,47,Democrats +5
Rasmussen ReportsRasmussen Reports,8/18 - 8/24,3500 LV,40,39,Republicans +1
Rasmussen ReportsRasmussen Reports,8/11 - 8/17,3500 LV,39,39,Tie
FOX NewsFOX News,8/10 - 8/12,1001 RV,39,46,Democrats +7
GallupGallup,8/7 - 8/10,RV,45,47,Democrats +2
Reason-Rupe/PSRAIReason-Rupe/PSRAI,8/6 - 8/10,LV,41,42,Democrats +1
McClatchy/MaristMcClatchy/Marist,8/4 - 8/7,806 RV,43,38,Republicans +5
Rasmussen ReportsRasmussen Reports,8/4 - 8/10,3500 LV,40,39,Republicans +1
CBS NewsCBS News,7/29 - 8/4,RV,37,41,Democrats +4
Rasmussen ReportsRasmussen Reports,7/28 - 8/3,3500 LV,42,38,Republicans +4
FOX NewsFOX News,7/20 - 7/22,1057 RV,41,43,Democrats +2
Rasmussen ReportsRasmussen Reports,7/21 - 7/27,3500 LV,39,41,Democrats +2
CNN/Opinion ResearchCNN/Opinion Research,7/18 - 7/20,899 RV,44,48,Democrats +4
Pew ResearchPew Research,7/8 - 7/14,1420 RV,45,47,Democrats +2
Rasmussen ReportsRasmussen Reports,7/14 - 7/20,3500 LV,39,39,Tie
Rasmussen ReportsRasmussen Reports,7/7 - 7/13,3500 LV,38,39,Democrats +1
QuinnipiacQuinnipiac,6/24 - 6/30,1446 RV,39,41,Democrats +2
Rasmussen ReportsRasmussen Reports,6/30 - 7/6,3500 LV,38,41,Democrats +3
Rasmussen ReportsRasmussen Reports,6/23 - 6/29,3500 LV,38,40,Democrats +2
FOX NewsFOX News,6/21 - 6/23,1018 RV,42,42,Tie
CBS News/NY TimesCBS News/NY Times,6/20 - 6/22,RV,39,42,Democrats +3
Rasmussen ReportsRasmussen Reports,6/16 - 6/22,3500 LV,38,40,Democrats +2
Rasmussen ReportsRasmussen Reports,6/9 - 6/15,3500 LV,37,39,Democrats +2
BloombergBloomberg,6/6 - 6/9,763 LV,43,43,Tie
Rasmussen ReportsRasmussen Reports,6/2 - 6/8,3500 LV,37,41,Democrats +4
FOX NewsFOX News,6/1 - 6/3,1006 RV,43,39,Republicans +4
ABC News/Wash PostABC News/Wash Post,5/29 - 6/1,RV,45,47,Democrats +2
Rasmussen ReportsRasmussen Reports,5/26 - 6/1,3500 LV,38,41,Democrats +3
Rasmussen ReportsRasmussen Reports,5/19 - 5/25,3500 LV,38,42,Democrats +4
CBS NewsCBS News,5/16 - 5/19,RV,39,40,Democrats +1
Rasmussen ReportsRasmussen Reports,5/12 - 5/18,3500 LV,37,41,Democrats +4
FOX NewsFOX News,5/10 - 5/13,1025 RV,40,43,Democrats +3
Rasmussen ReportsRasmussen Reports,5/5 - 5/11,3500 LV,38,40,Democrats +2
CNN/Opinion ResearchCNN/Opinion Research,5/2 - 5/4,911 RV,46,45,Republicans +1
Rasmussen ReportsRasmussen Reports,4/28 - 5/4,3500 LV,37,41,Democrats +4
GallupGallup,4/24 - 4/30,RV,44,49,Democrats +5
ABC News/Wash PostABC News/Wash Post,4/24 - 4/27,855 RV,44,45,Democrats +1
USA Today/Pew ResearchUSA Today/Pew Research,4/23 - 4/27,1162 RV,47,43,Republicans +4
Rasmussen ReportsRasmussen Reports,4/21 - 4/27,3500 LV,40,38,Republicans +2
Rasmussen ReportsRasmussen Reports,4/14 - 4/20,3500 LV,41,40,Republicans +1
FOX NewsFOX News,4/13 - 4/15,1012 RV,44,41,Republicans +3
Rasmussen ReportsRasmussen Reports,4/7 - 4/13,3500 LV,38,40,Democrats +2
McClatchy/MaristMcClatchy/Marist,4/7 - 4/10,1036 RV,42,48,Democrats +6
Rasmussen ReportsRasmussen Reports,3/31 - 4/6,3500 LV,39,40,Democrats +1
QuinnipiacQuinnipiac,3/26 - 3/31,1578 RV,38,40,Democrats +2
Reason-Rupe/PSRAIReason-Rupe/PSRAI,3/26 - 3/30,1003 A,36,40,Democrats +4
Rasmussen ReportsRasmussen Reports,3/24 - 3/30,3500 LV,38,39,Democrats +1
CBS NewsCBS News,3/20 - 3/23,RV,39,39,Tie
NPR/GQR/ResurgentNPR/GQR/Resurgent,3/19 - 3/23,840 LV,43,44,Democrats +1
GWU/BattlegroundGWU/Battleground,3/16 - 3/20,1000 LV,43,43,Tie
Rasmussen ReportsRasmussen Reports,3/17 - 3/23,3500 LV,37,41,Democrats +4
Rasmussen ReportsRasmussen Reports,3/10 - 3/16,3500 LV,39,38,Republicans +1
PPP (D)PPP (D),3/6 - 3/9,1152 RV,40,43,Democrats +3
Rasmussen ReportsRasmussen Reports,3/3 - 3/9,3500 LV,39,39,Tie
FOX NewsFOX News,3/2 - 3/4,1002 RV,38,40,Democrats +2
ABC News/Wash PostABC News/Wash Post,2/27 - 3/2,RV,45,46,Democrats +1
Rasmussen ReportsRasmussen Reports,2/24 - 3/2,3500 LV,36,39,Democrats +3
CBS News/NY TimesCBS News/NY Times,2/19 - 2/23,RV,42,39,Republicans +3
Rasmussen ReportsRasmussen Reports,2/17 - 2/23,3500 LV,37,41,Democrats +4
Rasmussen ReportsRasmussen Reports,2/10 - 2/16,3500 LV,37,41,Democrats +4
McClatchy/MaristMcClatchy/Marist,2/4 - 2/9,970 RV,44,46,Democrats +2
Rasmussen ReportsRasmussen Reports,2/3 - 2/9,3500 LV,38,40,Democrats +2
Rasmussen ReportsRasmussen Reports,1/27 - 2/2,3500 LV,40,39,Republicans +1
PPP (D)PPP (D),1/23 - 1/26,845 RV,42,40,Republicans +2
Rasmussen ReportsRasmussen Reports,1/20 - 1/26,3500 LV,37,42,Democrats +5
ABC News/Wash PostABC News/Wash Post,1/20 - 1/23,RV,46,45,Republicans +1
FOX NewsFOX News,1/19 - 1/21,1010 RV,43,41,Republicans +2
QuinnipiacQuinnipiac,1/15 - 1/19,1933 RV,38,37,Republicans +1
GWU/BattlegroundGWU/Battleground,1/12 - 1/16,1000 LV,43,41,Republicans +2
Rasmussen ReportsRasmussen Reports,1/13 - 1/19,3500 LV,35,41,Democrats +6
Rasmussen ReportsRasmussen Reports,1/6 - 1/12,3500 LV,37,41,Democrats +4
QuinnipiacQuinnipiac,1/4 - 1/7,1487 RV,38,37,Republicans +1
Rasmussen ReportsRasmussen Reports,12/30 - 1/5,3500 LV,38,40,Democrats +2
Rasmussen ReportsRasmussen Reports,12/23 - 12/29,3500 LV,40,40,Tie
Rasmussen ReportsRasmussen Reports,12/16 - 12/22,3500 LV,42,39,Republicans +3
CNN/Opinion ResearchCNN/Opinion Research,12/16 - 12/19,950 RV,49,44,Republicans +5
FOX NewsFOX News,12/14 - 12/16,1027 RV,43,43,Tie
ABC News/Wash PostABC News/Wash Post,12/12 - 12/15,RV,45,47,Democrats +2
PPP (D)PPP (D),12/12 - 12/15,1316 RV,40,43,Democrats +3
Rasmussen ReportsRasmussen Reports,12/9 - 12/15,3500 LV,40,40,Tie
QuinnipiacQuinnipiac,12/3 - 12/9,2692 RV,41,38,Republicans +3
USA Today/Pew ResearchUSA Today/Pew Research,12/3 - 12/8,1579 RV,44,48,Democrats +4
Rasmussen ReportsRasmussen Reports,12/2 - 12/8,3500 LV,43,38,Republicans +5
McClatchy/MaristMcClatchy/Marist,12/3 - 12/5,988 RV,43,43,Tie
Rasmussen ReportsRasmussen Reports,11/25 - 12/1,3500 LV,43,38,Republicans +5
CNN/Opinion ResearchCNN/Opinion Research,11/18 - 11/20,749 RV,49,47,Republicans +2
Rasmussen ReportsRasmussen Reports,11/18 - 11/24,3500 LV,40,41,Democrats +1
Rasmussen ReportsRasmussen Reports,11/11 - 11/17,3500 LV,40,39,Republicans +1
FOX NewsFOX News,11/10 - 11/12,1006 RV,43,40,Republicans +3
QuinnipiacQuinnipiac,11/6 - 11/11,2545 RV,39,39,Tie
Rasmussen ReportsRasmussen Reports,11/4 - 11/10,3500 LV,39,41,Democrats +2
Rasmussen ReportsRasmussen Reports,10/28 - 11/3,3500 LV,37,43,Democrats +6
PPP (D)PPP (D),10/29 - 10/31,649 RV,38,44,Democrats +6
GWU/BattlegroundGWU/Battleground,10/27 - 10/31,1000 LV,41,44,Democrats +3
Rasmussen ReportsRasmussen Reports,10/21 - 10/27,3500 LV,37,43,Democrats +6
FOX NewsFOX News,10/20 - 10/22,1020 RV,37,45,Democrats +8
CNN/Opinion ResearchCNN/Opinion Research,10/18 - 10/20,RV,42,50,Democrats +8
ABC News/Wash PostABC News/Wash Post,10/17 - 10/20,RV,40,48,Democrats +8
Rasmussen ReportsRasmussen Reports,10/14 - 10/20,3500 LV,36,43,Democrats +7
Pew ResearchPew Research,10/9 - 10/13,1259 RV,43,49,Democrats +6
Rasmussen ReportsRasmussen Reports,10/7 - 10/13,3500 LV,38,45,Democrats +7
Democracy Corps (D)Democracy Corps (D),10/6 - 10/8,860 LV,43,47,Democrats +4
PPP (D)PPP (D),10/4 - 10/6,1000 RV,41,46,Democrats +5
Rasmussen ReportsRasmussen Reports,9/30 - 10/6,3500 LV,40,40,Tie
Rasmussen ReportsRasmussen Reports,9/23 - 9/29,3500 LV,38,42,Democrats +4
QuinnipiacQuinnipiac,9/23 - 9/29,1497 RV,34,43,Democrats +9
PPP (D)PPP (D),9/25 - 9/26,790 RV,40,45,Democrats +5
Rasmussen ReportsRasmussen Reports,9/16 - 9/22,3500 LV,37,40,Democrats +3
Rasmussen ReportsRasmussen Reports,9/9 - 9/15,3500 LV,38,38,Tie
Rasmussen ReportsRasmussen Reports,9/2 - 9/8,3500 LV,39,39,Tie
Rasmussen ReportsRasmussen Reports,8/26 - 9/1,3500 LV,37,39,Democrats +2
Rasmussen ReportsRasmussen Reports,8/19 - 8/25,3500 LV,39,38,Republicans +1
Rasmussen ReportsRasmussen Reports,8/12 - 8/18,3500 LV,38,38,Tie
Rasmussen ReportsRasmussen Reports,8/5 - 8/11,3500 LV,39,39,Tie
Rasmussen ReportsRasmussen Reports,7/29 - 8/4,3500 LV,41,38,Republicans +3
QuinnipiacQuinnipiac,7/28 - 7/31,1468 RV,36,40,Democrats +4
Rasmussen ReportsRasmussen Reports,7/22 - 7/28,3500 LV,38,39,Democrats +1
Rasmussen ReportsRasmussen Reports,7/15 - 7/21,3500 LV,38,40,Democrats +2
Democracy Corps (D)Democracy Corps (D),7/10 - 7/15,841 LV,44,43,Republicans +1
Rasmussen ReportsRasmussen Reports,7/8 - 7/14,3500 LV,39,38,Republicans +1
QuinnipiacQuinnipiac,6/28 - 7/8,2014 RV,34,39,Democrats +5
Rasmussen ReportsRasmussen Reports,7/1 - 7/7,3500 LV,40,39,Republicans +1
Rasmussen ReportsRasmussen Reports,6/24 - 6/30,3500 LV,39,38,Republicans +1
Rasmussen ReportsRasmussen Reports,6/17 - 6/23,3500 LV,39,40,Democrats +1
Rasmussen ReportsRasmussen Reports,6/10 - 6/16,3500 LV,39,39,Tie
PPP (D)PPP (D),6/11 - 6/13,603 RV,40,47,Democrats +7
Rasmussen ReportsRasmussen Reports,6/3 - 6/9,3500 LV,38,40,Democrats +2
Rasmussen ReportsRasmussen Reports,5/27 - 6/2,3500 LV,40,40,Tie
QuinnipiacQuinnipiac,5/22 - 5/28,1419 RV,38,38,Tie
Rasmussen ReportsRasmussen Reports,5/20 - 5/26,3500 LV,39,41,Democrats +2
ABC News/Wash PostABC News/Wash Post,5/16 - 5/19,RV,40,48,Democrats +8
Rasmussen ReportsRasmussen Reports,5/13 - 5/19,3500 LV,40,39,Republicans +1
Rasmussen ReportsRasmussen Reports,5/6 - 5/11,3500 LV,38,40,Democrats +2
PPP (D)PPP (D),5/6 - 5/9,1099 RV,43,45,Democrats +2
Rasmussen ReportsRasmussen Reports,4/29 - 5/5,3500 LV,38,40,Democrats +2
QuinnipiacQuinnipiac,4/25 - 4/29,1471 RV,37,41,Democrats +4
Rasmussen ReportsRasmussen Reports,4/22 - 4/28,3500 LV,40,39,Republicans +1
Rasmussen ReportsRasmussen Reports,4/15 - 4/21,3500 LV,39,41,Democrats +2
Rasmussen ReportsRasmussen Reports,4/8 - 4/14,3500 LV,38,42,Democrats +4
Rasmussen ReportsRasmussen Reports,4/1 - 4/7,3500 LV,38,41,Democrats +3
QuinnipiacQuinnipiac,3/26 - 4/1,1711 RV,35,43,Democrats +8
PPP (D)PPP (D),3/27 - 3/30,1247 RV,42,46,Democrats +4
Rasmussen ReportsRasmussen Reports,3/25 - 3/31,3500 LV,37,44,Democrats +7
Rasmussen ReportsRasmussen Reports,3/18 - 3/24,3500 LV,38,43,Democrats +5
Rasmussen ReportsRasmussen Reports,3/11 - 3/17,3500 LV,38,43,Democrats +5
Democracy Corps (D)Democracy Corps (D),3/9 - 3/12,840 LV,42,46,Democrats +4
Rasmussen ReportsRasmussen Reports,3/4 - 3/10,3500 LV,40,43,Democrats +3
Rasmussen ReportsRasmussen Reports,2/25 - 3/3,3500 LV,40,43,Democrats +3
Rasmussen ReportsRasmussen Reports,2/18 - 2/24,3500 LV,38,43,Democrats +5
Rasmussen ReportsRasmussen Reports,2/11 - 2/17,3500 LV,37,43,Democrats +6
Rasmussen ReportsRasmussen Reports,2/4 - 2/10,3500 LV,39,42,Democrats +3
PPP (D)PPP (D),1/31 - 2/3,800 RV,45,45,Tie
Rasmussen ReportsRasmussen Reports,1/28 - 2/3,3000 LV,38,44,Democrats +6
Rasmussen ReportsRasmussen Reports,1/21 - 1/27,3000 LV,37,45,Democrats +8
Rasmussen ReportsRasmussen Reports,1/14 - 1/20,3000 LV,39,44,Democrats +5
Democracy Corps (D)Democracy Corps (D),1/10 - 1/14,852 LV,42,46,Democrats +4
Rasmussen ReportsRasmussen Reports,1/7 - 1/13,3000 LV,37,43,Democrats +6
PPP (D)PPP (D),1/3 - 1/6,1100 RV,41,47,Democrats +6
Rasmussen ReportsRasmussen Reports,1/2 - 1/6,3000 LV,38,44,Democrats +6
Rasmussen ReportsRasmussen Reports,12/26 - 12/30,3000 LV,35,46,Democrats +11
Rasmussen ReportsRasmussen Reports,12/17 - 12/22,3500 LV,38,44,Democrats +6
Rasmussen ReportsRasmussen Reports,12/10 - 12/16,3500 LV,38,46,Democrats +8
Rasmussen ReportsRasmussen Reports,12/3 - 12/9,3500 LV,36,46,Democrats +10
Politico/GWU/BattlegroundPolitico/GWU/Battleground,12/2 - 12/6,1000 LV,42,45,Democrats +3
Rasmussen ReportsRasmussen Reports,11/26 - 12/2,3500 LV,36,47,Democrats +11
Rasmussen ReportsRasmussen Reports,11/19 - 11/25,3500 LV,40,45,Democrats +5
Rasmussen ReportsRasmussen Reports,11/12 - 11/18,3500 LV,40,45,Democrats +5
Rasmussen ReportsRasmussen Reports,11/5 - 11/11,3500 LV,42,45,Democrats +3
