Poll,Date,Sample,Republicans,Democrats,Spread
ABC News/Wash PostABC News/Wash Post,7/7 - 7/11,LV,49,45,Republicans +4
GallupGallup,7/5 - 7/11,1600 RV,46,47,Democrats +1
Rasmussen ReportsRasmussen Reports,7/5 - 7/11,3500 LV,44,38,Republicans +6
GallupGallup,6/28 - 7/3,1600 RV,46,44,Republicans +2
FOX NewsFOX News,6/29 - 6/30,900 RV,42,40,Republicans +2
Rasmussen ReportsRasmussen Reports,6/21 - 6/27,3500 LV,44,38,Republicans +6
Democracy Corps (D)Democracy Corps (D),6/19 - 6/22,867 LV,48,42,Republicans +6
GallupGallup,6/21 - 6/27,1600 RV,45,46,Democrats +1
Pew ResearchPew Research,6/16 - 6/20,1496 RV,45,45,Tie
GallupGallup,6/14 - 6/20,1600 RV,46,46,Tie
Rasmussen ReportsRasmussen Reports,6/14 - 6/20,3500 LV,44,36,Republicans +8
USA Today/GallupUSA Today/Gallup,6/11 - 6/13,1014 A,43,48,Democrats +5
Ipsos/McClatchyIpsos/McClatchy,6/10 - 6/13,846 RV,43,42,Republicans +1
GallupGallup,6/7 - 6/13,1600 RV,49,44,Republicans +5
Rasmussen ReportsRasmussen Reports,6/7 - 6/13,3500 LV,46,36,Republicans +10
FOX NewsFOX News,6/8 - 6/9,900 RV,38,41,Democrats +3
PPP (D)PPP (D),6/4 - 6/7,650 RV,41,43,Democrats +2
ABC News/Wash PostABC News/Wash Post,6/3 - 6/6,RV,44,47,Democrats +3
GallupGallup,5/31 - 6/6,1600 RV,46,46,Tie
Rasmussen ReportsRasmussen Reports,5/31 - 6/6,3500 LV,44,35,Republicans +9
GallupGallup,5/24 - 5/30,1600 RV,49,43,Republicans +6
Rasmussen ReportsRasmussen Reports,5/24 - 5/30,3500 LV,44,37,Republicans +7
QuinnipiacQuinnipiac,5/19 - 5/24,1914 RV,36,42,Democrats +6
Rasmussen ReportsRasmussen Reports,5/17 - 5/23,3500 LV,44,36,Republicans +8
GallupGallup,5/17 - 5/23,1600 RV,46,47,Democrats +1
FOX NewsFOX News,5/18 - 5/19,900 RV,41,41,Tie
Democracy Corps (D)Democracy Corps (D),5/15 - 5/18,1000 LV,46,43,Republicans +3
GallupGallup,5/10 - 5/16,1600 RV,46,45,Republicans +1
Rasmussen ReportsRasmussen Reports,5/10 - 5/16,3500 LV,43,38,Republicans +5
Ipsos-McClatchyIpsos-McClatchy,5/6 - 5/9,905 RV,42,45,Democrats +3
GallupGallup,5/3 - 5/8,1600 RV,46,46,Tie
Rasmussen ReportsRasmussen Reports,5/3 - 5/8,3500 LV,44,38,Republicans +6
FOX NewsFOX News,5/4 - 5/5,900 RV,42,40,Republicans +2
GallupGallup,4/26 - 5/2,1600 RV,45,45,Tie
Rasmussen ReportsRasmussen Reports,4/26 - 5/2,3500 LV,44,37,Republicans +7
National Journal/FDNational Journal/FD,4/22 - 4/26,1200 A,35,39,Democrats +4
ABC News/Wash PostABC News/Wash Post,4/22 - 4/25,RV,43,48,Democrats +5
GallupGallup,4/19 - 4/25,1600 RV,45,45,Tie
Rasmussen ReportsRasmussen Reports,4/19 - 4/25,3500 LV,44,38,Republicans +6
FOX NewsFOX News,4/20 - 4/21,900 RV,42,38,Republicans +4
Democracy Corps (D)Democracy Corps (D),4/17 - 4/20,872 LV,45,43,Republicans +2
GallupGallup,4/12 - 4/18,1600 RV,46,43,Republicans +3
Rasmussen ReportsRasmussen Reports,4/12 - 4/18,3500 LV,46,36,Republicans +10
PPP (D)PPP (D),4/9 - 4/11,622 RV,47,42,Republicans +5
CNN/Opinion ResearchCNN/Opinion Research,4/9 - 4/11,907 RV,46,50,Democrats +4
GallupGallup,4/5 - 4/11,1613 RV,48,44,Republicans +4
Rasmussen ReportsRasmussen Reports,4/5 - 4/11,3500 LV,45,36,Republicans +9
FOX NewsFOX News,4/6 - 4/7,900 RV,43,39,Republicans +4
GWU/BattlegroundGWU/Battleground,4/5 - 4/8,1000 LV,41,40,Republicans +1
Ipsos-McClatchyIpsos-McClatchy,4/1 - 4/5,950 RV,46,45,Republicans +1
GallupGallup,3/29 - 4/4,1344 RV,46,46,Tie
Rasmussen ReportsRasmussen Reports,3/29 - 4/4,3500 LV,47,38,Republicans +9
USA Today/GallupUSA Today/Gallup,3/26 - 3/28,968 RV,46,45,Republicans +1
CNN/Opinion ResearchCNN/Opinion Research,3/25 - 3/28,935 RV,49,45,Republicans +4
Rasmussen ReportsRasmussen Reports,3/22 - 3/28,3500 LV,46,39,Republicans +7
GallupGallup,3/22 - 3/28,RV,47,44,Republicans +3
Washington PostWashington Post,3/23 - 3/26,RV,44,48,Democrats +4
CNN/Opinion ResearchCNN/Opinion Research,3/19 - 3/21,953 RV,48,45,Republicans +3
QuinnipiacQuinnipiac,3/16 - 3/21,1907 RV,44,39,Republicans +5
GallupGallup,3/15 - 3/21,RV,45,47,Democrats +2
Rasmussen ReportsRasmussen Reports,3/15 - 3/21,3500 LV,43,35,Republicans +8
FOX NewsFOX News,3/16 - 3/17,900 RV,42,38,Republicans +4
Democracy Corps (D)Democracy Corps (D),3/15 - 3/18,850 LV,43,44,Democrats +1
PPP (D)PPP (D),3/12 - 3/14,1403 RV,46,43,Republicans +3
GallupGallup,3/8 - 3/14,RV,44,47,Democrats +3
Rasmussen ReportsRasmussen Reports,3/8 - 3/14,3500 LV,45,35,Republicans +10
GallupGallup,3/1 - 3/7,RV,44,47,Democrats +3
Rasmussen ReportsRasmussen Reports,3/1 - 3/7,3500 LV,44,37,Republicans +7
Ipsos/McClatchyIpsos/McClatchy,2/26 - 2/28,950 RV,43,47,Democrats +4
Rasmussen ReportsRasmussen Reports,2/22 - 2/28,3500 LV,44,36,Republicans +8
McLaughlin & Associates (R)McLaughlin & Associates (R),2/24 - 2/25,1000 LV,42,35,Republicans +7
Democracy Corps (D)Democracy Corps (D),2/20 - 2/24,851 LV,49,46,Republicans +3
Rasmussen ReportsRasmussen Reports,2/15 - 2/21,3500 LV,44,35,Republicans +9
NewsweekNewsweek,2/17 - 2/18,908 RV,43,45,Democrats +2
POS (R)POS (R),2/17 - 2/18,900 RV,43,42,Republicans +1
CNN/Opinion ResearchCNN/Opinion Research,2/12 - 2/15,954 RV,47,45,Republicans +2
Rasmussen ReportsRasmussen Reports,2/8 - 2/14,3500 LV,45,36,Republicans +9
Pew ResearchPew Research,2/3 - 2/9,1129 RV,42,45,Democrats +3
ABC News/Wash PostABC News/Wash Post,2/4 - 2/8,RV,48,45,Republicans +3
Rasmussen ReportsRasmussen Reports,2/1 - 2/7,3500 LV,44,36,Republicans +8
Democracy Corps (D)Democracy Corps (D),2/2 - 2/4,805 LV,45,46,Democrats +1
GallupGallup,2/1 - 2/3,942 RV,45,45,Tie
PPP (D)PPP (D),1/29 - 1/31,584 RV,43,40,Republicans +3
Rasmussen ReportsRasmussen Reports,1/25 - 1/31,3500 LV,45,38,Republicans +7
NPR - POS/GQRNPR - POS/GQR,1/20 - 1/23,800 LV,44,39,Republicans +5
Rasmussen ReportsRasmussen Reports,1/18 - 1/24,3500 LV,46,37,Republicans +9
McLaughlin & Associates (R)McLaughlin & Associates (R),1/19 - 1/20,1000 LV,42,37,Republicans +5
PPP (D)PPP (D),1/18 - 1/19,1151 RV,45,42,Republicans +3
Rasmussen ReportsRasmussen Reports,1/11 - 1/17,3500 LV,45,37,Republicans +8
Democracy Corps (D)Democracy Corps (D),1/7 - 1/11,836 LV,46,45,Republicans +1
CNN/Opinion ResearchCNN/Opinion Research,1/8 - 1/10,955 RV,48,45,Republicans +3
Pew ResearchPew Research,1/6 - 1/10,1214 RV,44,46,Democrats +2
Rasmussen ReportsRasmussen Reports,1/4 - 1/10,3500 LV,45,36,Republicans +9
Rasmussen ReportsRasmussen Reports,12/28 - 1/3,4000 LV,44,35,Republicans +9
Rasmussen ReportsRasmussen Reports,12/21 - 12/27,2500 LV,43,38,Republicans +5
Rasmussen ReportsRasmussen Reports,12/14 - 12/20,3500 LV,44,36,Republicans +8
USA Today/GallupUSA Today/Gallup,12/11 - 12/13,898 RV,45,48,Democrats +3
Rasmussen ReportsRasmussen Reports,12/7 - 12/13,3500 LV,44,37,Republicans +7
BattlegroundBattleground,12/6 - 12/10,1000 LV,42,41,Republicans +1
PPP (D)PPP (D),12/4 - 12/7,1253 RV,42,44,Democrats +2
BloombergBloomberg,12/3 - 12/7,714 LV,42,38,Republicans +4
Rasmussen ReportsRasmussen Reports,11/30 - 12/6,3500 LV,43,39,Republicans +4
Rasmussen ReportsRasmussen Reports,11/23 - 11/29,3500 LV,44,37,Republicans +7
Rasmussen ReportsRasmussen Reports,11/16 - 11/22,3500 LV,44,37,Republicans +7
Democracy Corps (D)Democracy Corps (D),11/12 - 11/16,875 LV,45,47,Democrats +2
CNN/Opinion ResearchCNN/Opinion Research,11/13 - 11/15,928 RV,43,49,Democrats +6
PPP (D)PPP (D),11/13 - 11/15,1066 RV,38,46,Democrats +8
Rasmussen ReportsRasmussen Reports,11/9 - 11/15,3500 LV,44,38,Republicans +6
GallupGallup,11/5 - 11/8,894 RV,48,44,Republicans +4
Rasmussen ReportsRasmussen Reports,11/2 - 11/8,3500 LV,43,37,Republicans +6
Pew ResearchPew Research,10/28 - 11/8,1644 RV,42,47,Democrats +5
CNN/Opinion ResearchCNN/Opinion Research,10/30 - 11/1,952 RV,44,50,Democrats +6
Ipsos/McClatchyIpsos/McClatchy,10/29 - 11/1,950 RV,45,46,Democrats +1
Rasmussen ReportsRasmussen Reports,10/26 - 11/1,3500 LV,42,38,Republicans +4
Rasmussen ReportsRasmussen Reports,10/19 - 10/25,3500 LV,42,38,Republicans +4
PPP (D)PPP (D),10/16 - 10/19,766 RV,40,48,Democrats +8
ABC News/Wash PostABC News/Wash Post,10/15 - 10/18,1004 A,39,51,Democrats +12
Rasmussen ReportsRasmussen Reports,10/12 - 10/18,3500 LV,42,37,Republicans +5
Rasmussen ReportsRasmussen Reports,10/5 - 10/11,3500 LV,41,39,Republicans +2
CBS NewsCBS News,10/5 - 10/8,RV,33,46,Democrats +13
GallupGallup,10/1 - 10/4,906 RV,44,46,Democrats +2
Rasmussen ReportsRasmussen Reports,9/28 - 10/4,3500 LV,43,39,Republicans +4
Rasmussen ReportsRasmussen Reports,9/21 - 9/27,3500 LV,42,40,Republicans +2
Rasmussen ReportsRasmussen Reports,9/14 - 9/20,3500 LV,42,38,Republicans +4
Democracy Corps (D)Democracy Corps (D),9/12 - 9/16,1044 LV,42,46,Democrats +4
BloombergBloomberg,9/10 - 9/14,1004 A,32,40,Democrats +8
Rasmussen ReportsRasmussen Reports,9/7 - 9/13,3500 LV,41,40,Republicans +1
Rasmussen ReportsRasmussen Reports,8/31 - 9/6,3500 LV,44,37,Republicans +7
Democracy Corps (D)Democracy Corps (D),8/29 - 9/1,837 LV,43,47,Democrats +4
Ipsos-McClatchyIpsos-McClatchy,8/27 - 8/31,903 RV,34,42,Democrats +8
PPP (D)PPP (D),8/27 - 8/30,596 RV,45,41,Republicans +4
Rasmussen ReportsRasmussen Reports,8/24 - 8/30,3500 LV,43,36,Republicans +7
Pew ResearchPew Research,8/20 - 8/27,1669 RV,44,45,Democrats +1
Rasmussen ReportsRasmussen Reports,8/17 - 8/23,3500 LV,43,38,Republicans +5
Rasmussen ReportsRasmussen Reports,8/9 - 8/16,3500 LV,43,38,Republicans +5
Rasmussen ReportsRasmussen Reports,8/3 - 8/9,3500 LV,42,38,Republicans +4
Rasmussen ReportsRasmussen Reports,7/27 - 8/2,3500 LV,43,38,Republicans +5
NPRNPR,7/22 - 7/26,850 LV,43,42,Republicans +1
Rasmussen ReportsRasmussen Reports,7/20 - 7/26,3500 LV,42,39,Republicans +3
GWU/BattlegroundGWU/Battleground,7/19 - 7/23,1000 LV,40,43,Democrats +3
Rasmussen ReportsRasmussen Reports,7/13 - 7/19,3500 LV,42,38,Republicans +4
GallupGallup,7/10 - 7/12,916 RV,44,50,Democrats +6
Rasmussen ReportsRasmussen Reports,7/8 - 7/14,3500 LV,40,37,Republicans +3
Diageo/HotlineDiageo/Hotline,7/9 - 7/13,800 RV,32,39,Democrats +7
Rasmussen ReportsRasmussen Reports,6/29 - 7/5,3500 LV,41,38,Republicans +3
QuinnipiacQuinnipiac,6/23 - 6/29,3063 RV,34,42,Democrats +8
Rasmussen ReportsRasmussen Reports,6/22 - 6/28,3500 LV,41,39,Republicans +2
Rasmussen ReportsRasmussen Reports,6/15 - 6/21,3500 LV,39,41,Democrats +2
Rasmussen ReportsRasmussen Reports,6/8 - 6/14,3500 LV,39,39,Tie
Diageo/HotlineDiageo/Hotline,6/4 - 6/7,800 RV,30,39,Democrats +9
Rasmussen ReportsRasmussen Reports,6/1 - 6/7,3500 LV,40,40,Tie
QuinnipiacQuinnipiac,5/26 - 6/1,3097 RV,32,42,Democrats +10
Democracy Corps (D)Democracy Corps (D),5/26 - 6/1,1013 RV,40,50,Democrats +10
Rasmussen ReportsRasmussen Reports,5/25 - 5/31,3500 LV,37,38,Democrats +1
Rasmussen ReportsRasmussen Reports,5/18 - 5/24,3500 LV,38,41,Democrats +3
Rasmussen ReportsRasmussen Reports,5/11 - 5/17,3500 LV,39,40,Democrats +1
Democracy Corps (D)Democracy Corps (D),5/10 - 5/12,1000 RV,43,46,Democrats +3
Rasmussen ReportsRasmussen Reports,5/4 - 5/10,3500 LV,40,39,Republicans +1
Rasmussen ReportsRasmussen Reports,4/27 - 5/3,3500 LV,40,39,Republicans +1
QuinnipiacQuinnipiac,4/21 - 4/27,2041 RV,34,41,Democrats +7
Diageo/HotlineDiageo/Hotline,4/23 - 4/26,800 RV,31,39,Democrats +8
Rasmussen ReportsRasmussen Reports,4/20 - 4/26,3500 LV,41,38,Republicans +3
POS (R)POS (R),4/19 - 4/21,800 LV,37,41,Democrats +4
Rasmussen ReportsRasmussen Reports,4/13 - 4/19,3500 LV,39,39,Tie
Rasmussen ReportsRasmussen Reports,4/6 - 4/12,3500 LV,38,38,Tie
Rasmussen ReportsRasmussen Reports,3/30 - 4/5,3500 LV,39,40,Democrats +1
Diageo/HotlineDiageo/Hotline,3/26 - 3/29,800 RV,32,37,Democrats +5
Democracy Corps (D)Democracy Corps (D),3/25 - 3/29,1000 LV,42,48,Democrats +6
Rasmussen ReportsRasmussen Reports,3/23 - 3/29,3500 LV,38,42,Democrats +4
Rasmussen ReportsRasmussen Reports,3/16 - 3/22,3500 LV,38,41,Democrats +3
NPRNPR,3/10 - 3/14,800 LV,42,42,Tie
Rasmussen ReportsRasmussen Reports,3/9 - 3/15,3500 LV,41,39,Republicans +2
Rasmussen ReportsRasmussen Reports,3/2 - 3/8,3500 LV,38,42,Democrats +4
Diageo/HotlineDiageo/Hotline,2/28 - 3/2,803 RV,34,40,Democrats +6
Rasmussen ReportsRasmussen Reports,2/23 - 3/1,3500 LV,39,41,Democrats +2
Rasmussen ReportsRasmussen Reports,2/16 - 2/22,3500 LV,37,41,Democrats +4
Rasmussen ReportsRasmussen Reports,2/9 - 2/15,3500 LV,39,41,Democrats +2
Rasmussen ReportsRasmussen Reports,2/2 - 2/8,3500 LV,39,40,Democrats +1
Rasmussen ReportsRasmussen Reports,1/26 - 2/1,3500 LV,38,42,Democrats +4
Rasmussen ReportsRasmussen Reports,1/19 - 1/25,3500 LV,35,42,Democrats +7
Diageo/HotlineDiageo/Hotline,1/21 - 1/24,800 RV,22,46,Democrats +24
Winston Group (R)Winston Group (R),12/29 - 12/30,1000 RV,39,51,Democrats +12
