,district,state,year,party,candidatevotes,totalvotes,candidate,national_poll,national_poll_prev,national_poll_delta_subtract,national_poll_delta_divide,previous_party,dem_win_margin_prev,rep_win_margin_prev,margin_signed_minus_prev,margin_signed_divide_prev,margin_unsigned_minus_prev,margin_unsigned_divide_prev,dem_win_prev,rep_win_prev,dem_win,rep_win,female_pct,age18_24_pct,age25_34_pct,median_age,unmarried_partner_pct,male_living_alone_pct,bachelors_deg_or_higher_pct,past_year_births_to_unmarried_women_pct,civilian_veteran_pct,live_same_house_past_year_pct,foreign_born_proportion_from_LatinAmerica,speak_other_language_at_home_pct,labor_force_unemployed_pct,public_transit_commuter_pct,no_health_insurance_pct,poverty_rate_pct,median_housing_value,median_household_income,food_stamp_benefits_pct,foreign_to_native_born_ratio
AR_03_2010,3,AR,2010,republican,148581.0,205123.0,Steve Womack,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.21474496982258454,0.7852550301774155,-0.570510060354831,0.2734716258666518,0.570510060354831,3.6566864910790144,0.0,1.0,0.0,1.0,50.8,10.7,13.4,35.2,2.0,11.6,22.0,25.6,11.0,82.6,69.3,12.6,4.9,0.5,18.3,16.5,127600,40674,11.4,0.0883199033887758
AR_04_2010,4,AR,2010,democrat,102479.0,178134.0,Mike Ross,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.8617233788982148,0.13827662110178512,0.7234467577964296,6.231880501794313,0.7234467577964296,6.231880501794313,1.0,0.0,1.0,0.0,51.3,9.2,11.3,39.8,2.0,12.3,15.0,49.5,10.8,84.1,67.9,4.4,6.9,0.7,17.6,21.3,80800,35312,16.7,0.026939458855014104
AZ_01_2010,1,AZ,2010,republican,112816.0,226918.0,Paul Gosar,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.5588173049675917,0.3942938515784452,0.16452345338914653,1.4172610167024489,0.16452345338914653,1.4172610167024489,1.0,0.0,0.0,1.0,48.5,10.2,11.8,38.1,2.4,12.2,19.1,40.1,12.6,81.4,72.0,25.4,7.0,0.6,18.0,22.3,152500,40854,16.1,0.07164128354329025
AZ_02_2010,2,AZ,2010,republican,173173.0,266894.0,Trent Franks,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.37160489079145503,0.5943796723891569,-0.22277478159770187,0.6251978458444908,0.22277478159770187,1.5994936749170054,0.0,1.0,0.0,1.0,51.0,7.7,12.1,39.1,2.2,10.6,21.4,34.1,14.5,82.6,56.9,16.1,7.3,0.8,14.4,12.9,157500,47963,10.1,0.10030534709350458
AZ_03_2010,3,AZ,2010,republican,108689.0,208071.0,Ben Quayle,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.4206955200773365,0.5407743103128714,-0.12007879023553486,0.7779502688172043,0.12007879023553486,1.285429210687722,0.0,1.0,0.0,1.0,51.0,8.5,14.5,37.9,2.7,14.3,34.0,40.4,9.4,79.3,47.6,20.0,6.3,2.5,14.6,13.6,216400,52327,11.3,0.14931819276648123
AZ_04_2010,4,AZ,2010,democrat,61524.0,91907.0,Ed Pastor,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7210734004677442,0.2124538886254591,0.508619511842285,3.3940230754681293,0.508619511842285,3.3940230754681293,1.0,0.0,1.0,0.0,48.6,12.2,16.7,28.7,3.0,15.5,13.1,46.6,5.6,76.9,86.7,53.2,8.7,4.4,29.6,34.4,100000,31498,26.5,0.37558572443485116
AZ_05_2010,5,AZ,2010,republican,110374.0,212250.0,David Schweikert,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.5315677777183314,0.43573555900344196,0.09583221871488945,1.2199320591003968,0.09583221871488945,1.2199320591003968,1.0,0.0,0.0,1.0,50.4,12.7,13.9,37.4,3.1,15.5,42.4,43.8,8.7,77.3,36.5,18.2,6.6,2.7,13.0,14.1,260200,55876,6.8,0.13747035532278037
AZ_06_2010,6,AZ,2010,republican,165649.0,249383.0,Jeff Flake,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.3454975821124198,0.6241681030355262,-0.27867052092310635,0.5535329031268279,0.27867052092310635,1.8065773404817376,0.0,1.0,0.0,1.0,51.3,8.3,12.9,35.8,2.3,9.0,27.9,40.4,11.1,79.7,50.8,18.5,7.1,0.8,13.3,10.3,177300,56691,9.2,0.12460925642279325
AZ_07_2010,7,AZ,2010,democrat,79935.0,159144.0,Raul M. Grijalva,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.6326257449526437,0.32788095007863033,0.30474479487401335,1.9294373302289487,0.30474479487401335,1.9294373302289487,1.0,0.0,1.0,0.0,50.2,12.3,14.2,31.1,2.8,11.5,15.0,49.3,9.6,79.6,88.0,47.4,8.8,1.9,22.0,22.6,121700,39777,20.4,0.24530099772056352
AZ_08_2010,8,AZ,2010,democrat,138280.0,283578.0,Gabrielle Giffords,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.5472056198326967,0.4281680100893787,0.11903760974331795,1.2780161220322583,0.11903760974331795,1.2780161220322583,1.0,0.0,1.0,0.0,50.5,8.3,11.9,43.1,2.5,13.6,34.7,34.8,15.4,82.2,53.7,18.7,5.5,1.3,11.3,12.7,196900,49825,10.3,0.1082941434917742
CA_01_2010,1,CA,2010,democrat,147307.0,234592.0,Mike Thompson,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.6810019554380456,0.23359566498664244,0.44740629045140323,2.9153021973973146,0.44740629045140323,2.9153021973973146,1.0,0.0,1.0,0.0,50.5,13.0,12.7,37.1,2.9,11.9,28.1,31.8,9.2,81.4,63.2,23.6,7.4,1.7,15.2,16.7,337600,48003,6.9,0.17996856081921142
CA_02_2010,2,CA,2010,republican,130837.0,228940.0,Wally Herger,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.4210500217824798,0.5789499782175201,-0.15789995643504035,0.7272649410555553,0.15789995643504035,1.3750147209744443,0.0,1.0,0.0,1.0,50.3,10.9,12.3,37.6,2.6,12.0,20.4,45.5,11.7,80.1,57.0,19.1,9.3,1.0,16.9,19.0,221500,42249,10.0,0.11916268672525519
CA_03_2010,3,CA,2010,republican,131169.0,261938.0,Daniel E. Lungren,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.43933372817994815,0.4949083892168663,-0.05557466103691816,0.8877071752110356,0.05557466103691816,1.1264975973211762,0.0,1.0,0.0,1.0,49.8,9.0,12.7,38.3,2.5,9.6,28.2,28.0,10.2,81.9,26.3,23.5,8.4,2.6,11.7,11.1,264700,61853,7.1,0.19181141327032644
CA_04_2010,4,CA,2010,republican,186397.0,304229.0,Tom McClintock,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.4975661203959111,0.5024338796040889,-0.004867759208177835,0.990311642176651,0.004867759208177835,1.0097831403880646,0.0,1.0,0.0,1.0,49.6,7.8,11.0,41.4,2.4,10.7,29.5,25.5,12.0,84.1,31.1,13.6,7.2,1.1,11.3,11.2,336600,60629,5.1,0.10048404305951585
CA_05_2010,5,CA,2010,democrat,124220.0,172410.0,Doris O. Matsui,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7426556035359816,0.20800795821934842,0.5346476453166331,3.570323029433503,0.5346476453166331,3.570323029433503,1.0,0.0,1.0,0.0,51.7,11.0,16.0,33.1,3.2,13.3,24.5,34.6,8.8,76.5,35.6,36.8,10.6,3.9,16.8,22.6,205000,43953,12.5,0.2763755247339785
CA_06_2010,6,CA,2010,democrat,172216.0,261152.0,Lynn C. Woolsey,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7169139910476273,0.24058096778019866,0.47633302326742866,2.9799281200939367,0.47633302326742866,2.9799281200939367,1.0,0.0,1.0,0.0,50.8,7.9,11.8,41.8,3.1,10.8,40.7,25.3,8.1,83.5,52.9,24.8,7.9,4.0,12.5,12.2,533100,64391,4.4,0.21406382636185348
CA_07_2010,7,CA,2010,democrat,122435.0,179199.0,George Miller,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7282012837932812,0.2179381785810123,0.5102631052122689,3.341320408083493,0.5102631052122689,3.341320408083493,1.0,0.0,1.0,0.0,50.0,10.0,14.6,36.1,2.5,9.8,24.4,44.9,8.7,83.5,51.7,37.5,9.0,6.1,16.1,13.3,288200,61315,7.5,0.3414384345667707
CA_08_2010,8,CA,2010,democrat,167957.0,209696.0,Nancy Pelosi,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7186613706717336,0.16167742342601324,0.5569839472457204,4.445032308426211,0.5569839472457204,4.445032308426211,1.0,0.0,1.0,0.0,49.1,9.6,22.3,37.7,3.9,21.2,50.6,23.0,4.4,83.3,22.4,45.2,6.4,35.1,12.8,13.1,742500,69926,4.8,0.5583303361654623
CA_09_2010,9,CA,2010,democrat,180400.0,214085.0,Barbara Lee,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.8606448126801153,0.09696325648414986,0.7636815561959654,8.875989151837128,0.7636815561959654,8.875989151837128,1.0,0.0,1.0,0.0,51.0,11.9,16.1,35.8,2.8,16.5,43.2,33.6,5.1,81.3,38.3,38.0,7.7,15.7,16.0,19.3,508500,53286,7.8,0.36095779696647373
CA_10_2010,10,CA,2010,democrat,137578.0,233806.0,John Garamendi,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.6512493012382905,0.31127335558077684,0.33997594565751366,2.0922102376002703,0.33997594565751366,2.0922102376002703,1.0,0.0,1.0,0.0,51.7,8.2,11.3,38.9,1.9,9.5,40.5,28.5,8.9,83.8,36.6,29.6,7.5,7.9,10.2,8.0,426900,75457,3.9,0.2699367133765233
CA_11_2010,11,CA,2010,democrat,115361.0,240503.0,Jerry McNerney,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.5527256599107575,0.4472340196763615,0.105491640234396,1.2358757062146892,0.105491640234396,1.2358757062146892,1.0,0.0,1.0,0.0,51.0,8.4,11.8,36.7,1.9,8.0,32.9,36.6,8.6,82.5,36.8,30.0,8.6,3.3,11.1,11.1,359400,72075,5.6,0.24262729949994813
CA_12_2010,12,CA,2010,democrat,152044.0,201162.0,Jackie Speier,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7511326460635631,0.1845885187725077,0.5665441272910554,4.069227333631086,0.5665441272910554,4.069227333631086,1.0,0.0,1.0,0.0,51.0,8.1,13.8,40.3,2.1,11.1,44.3,19.3,5.5,87.6,22.9,47.2,6.0,13.4,10.4,7.0,725900,82337,1.7,0.5706705743196326
CA_13_2010,13,CA,2010,democrat,118278.0,164378.0,Fortney Pete Stark,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7643029925415529,0.2356970074584471,0.5286059850831057,3.242735242093805,0.5286059850831057,3.242735242093805,1.0,0.0,1.0,0.0,51.3,8.4,14.9,36.4,2.0,8.7,36.0,23.5,5.7,86.5,23.8,53.1,8.7,7.5,12.0,10.5,467000,73539,5.6,0.5901861058727166
CA_14_2010,14,CA,2010,democrat,151217.0,218869.0,Anna G. Eshoo,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.6976712640138434,0.2222051135405439,0.4754661504732995,3.1397624154429966,0.4754661504732995,3.1397624154429966,1.0,0.0,1.0,0.0,49.8,7.9,13.9,38.5,2.1,13.2,57.0,18.6,6.2,83.2,31.3,41.3,6.0,3.3,10.0,7.1,859800,94740,2.5,0.47236672536755525
CA_15_2010,15,CA,2010,democrat,126147.0,186615.0,Michael M. Honda,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7166172790866302,0.23257149323732443,0.4840457858493058,3.0812773702896075,0.4840457858493058,3.0812773702896075,1.0,0.0,1.0,0.0,49.9,8.3,15.2,36.5,1.8,9.4,47.2,14.7,5.3,82.5,18.7,50.1,6.8,2.2,10.6,9.5,639700,85700,4.2,0.6068368485686136
CA_16_2010,16,CA,2010,democrat,105841.0,156058.0,Zoe Lofgren,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7134034978351605,0.24058696615642367,0.4728165316787369,2.965262454705561,0.4728165316787369,2.965262454705561,1.0,0.0,1.0,0.0,49.8,10.4,15.3,34.5,1.9,10.0,33.1,17.3,5.1,83.9,39.5,56.5,9.1,3.4,16.0,13.1,508900,73973,7.0,0.5982073657318369
CA_17_2010,17,CA,2010,democrat,118734.0,178139.0,Sam Farr,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7387917384724397,0.25822522372783496,0.48056651474460477,2.8610362992699496,0.48056651474460477,2.8610362992699496,1.0,0.0,1.0,0.0,49.2,12.4,14.3,33.4,2.9,9.3,24.8,34.3,6.9,83.5,77.7,46.5,7.0,2.2,19.8,16.8,412300,55026,6.7,0.37508277871593654
CA_18_2010,18,CA,2010,democrat,72853.0,124569.0,Dennis A. Cardoza,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,1.0,1e-10,0.9999999999,10000000000.0,0.9999999999,10000000000.0,1.0,0.0,1.0,0.0,49.1,11.7,14.5,29.8,2.7,9.6,10.9,45.5,6.1,79.5,74.0,52.0,11.9,0.9,22.0,26.2,143800,39297,16.2,0.3423860401493586
CA_19_2010,19,CA,2010,republican,128394.0,198902.0,Jeff Denham,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.01367373051218829,0.9843163958462612,-0.9706426653340728,0.013891600881475074,0.9706426653340728,71.98594377510041,0.0,1.0,0.0,1.0,51.7,10.4,13.4,35.3,2.1,8.1,21.3,29.9,8.2,83.3,63.4,32.7,8.5,1.2,16.0,17.9,221200,51553,12.3,0.19694278477980265
CA_20_2010,20,CA,2010,democrat,46247.0,89444.0,Jim Costa,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7433455062689287,0.25665449373107135,0.48669101253785735,2.896288685472321,0.48669101253785735,2.896288685472321,1.0,0.0,1.0,0.0,46.4,12.6,15.1,28.2,2.1,9.5,7.9,50.5,5.4,82.3,87.0,60.4,9.6,1.6,27.1,33.7,143900,33089,22.6,0.4373783759734758
CA_21_2010,21,CA,2010,republican,135979.0,135979.0,Devin Nunes,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.3160736839596788,0.6839263160403213,-0.3678526320806425,0.46214581387893905,0.3678526320806425,2.163819231871164,0.0,1.0,0.0,1.0,49.9,10.7,13.7,30.5,2.0,7.7,18.0,37.3,7.0,85.2,77.2,42.3,10.1,0.7,19.2,22.2,202800,48113,18.2,0.2661773867929489
CA_22_2010,22,CA,2010,republican,173490.0,175663.0,Kevin McCarthy,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,1e-10,1.0,-0.9999999999,1e-10,0.9999999999,10000000000.0,0.0,1.0,0.0,1.0,48.7,10.6,14.1,33.9,2.7,9.4,20.6,39.0,10.0,80.3,65.5,24.1,7.5,1.0,16.8,15.7,201400,53626,8.8,0.14448576349319237
CA_23_2010,23,CA,2010,democrat,111768.0,193463.0,Lois Capps,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.6807433237485504,0.31925667625144966,0.36148664749710074,2.1322759221247747,0.36148664749710074,2.1322759221247747,1.0,0.0,1.0,0.0,50.1,15.6,14.4,32.4,2.0,10.3,27.4,42.1,7.1,78.7,77.0,45.1,7.1,2.7,21.7,18.5,410900,54049,7.8,0.34878598742401523
CA_24_2010,24,CA,2010,republican,144055.0,240334.0,Elton Gallegly,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.4184608001279778,0.5815391998720222,-0.16307839974404437,0.7195745363684295,0.16307839974404437,1.3897100987575661,0.0,1.0,0.0,1.0,50.3,9.0,11.6,38.5,2.2,8.4,34.2,20.1,9.9,85.1,55.8,27.5,6.7,1.5,12.0,9.0,471800,74103,4.4,0.21519336576876755
CA_25_2010,25,CA,2010,republican,118308.0,191336.0,"Howard P. ""Buck"" McKeon",-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.42272007151151886,0.5772799284884811,-0.15455985697696223,0.7322618553850408,0.15455985697696223,1.3656316967025082,0.0,1.0,0.0,1.0,49.9,11.2,12.4,32.8,1.7,8.6,20.9,33.4,8.8,83.9,63.8,33.7,9.1,2.9,18.0,15.7,223100,57862,8.9,0.23402554373331716
CA_26_2010,26,CA,2010,republican,112774.0,208347.0,David Dreier,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.4044435293677236,0.5263916445176506,-0.12194811514992704,0.7683319702734416,0.12194811514992704,1.3015207471376078,0.0,1.0,0.0,1.0,51.3,9.5,12.0,37.8,1.7,7.6,36.6,23.7,6.6,86.5,33.2,39.5,7.0,3.3,14.6,8.9,466000,75086,3.6,0.34419692679948005
CA_27_2010,27,CA,2010,democrat,102927.0,157983.0,Brad Sherman,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.6850940869687786,0.24832381892076022,0.4367702680480184,2.7588738363732688,0.4367702680480184,2.7588738363732688,1.0,0.0,1.0,0.0,51.5,10.0,15.2,36.5,2.4,11.8,30.2,37.9,4.3,83.9,47.7,57.1,8.1,4.9,20.9,15.3,411800,56836,4.2,0.6374286098153696
CA_28_2010,28,CA,2010,democrat,88385.0,127107.0,Howard L. Berman,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.9989100500650336,0.0010899499349663205,0.9978201001300673,916.4733333333334,0.9978201001300673,916.4733333333334,1.0,0.0,1.0,0.0,50.0,11.0,17.6,32.7,2.7,12.1,28.0,38.4,2.9,84.6,68.6,66.8,9.6,7.9,28.2,17.7,394000,50607,7.9,0.7011795341560567
CA_29_2010,29,CA,2010,democrat,104374.0,161126.0,Adam B. Schiff,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.6891451089825779,0.2673985594690399,0.42174654951353796,2.5772207238175824,0.42174654951353796,2.5772207238175824,1.0,0.0,1.0,0.0,51.1,8.4,15.5,39.2,1.9,10.2,39.0,27.6,3.8,84.4,23.4,63.1,7.1,4.3,20.6,13.1,575000,57700,5.2,0.8631806347975406
CA_30_2010,30,CA,2010,democrat,153663.0,237747.0,Henry A. Waxman,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,1.0,1e-10,0.9999999999,10000000000.0,0.9999999999,10000000000.0,1.0,0.0,1.0,0.0,51.0,9.7,15.7,40.3,2.6,17.8,60.7,13.1,5.3,81.7,14.6,31.8,7.2,3.5,10.3,10.6,825400,75700,1.5,0.3305509728040102
CA_31_2010,31,CA,2010,democrat,76363.0,91106.0,Xavier Becerra,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,1.0,1e-10,0.9999999999,10000000000.0,0.9999999999,10000000000.0,1.0,0.0,1.0,0.0,48.3,11.5,17.7,32.8,3.6,15.0,19.9,57.5,2.2,86.6,74.6,79.7,9.4,23.8,37.0,28.8,404700,35194,10.9,1.0630940762824026
CA_32_2010,32,CA,2010,democrat,77759.0,109456.0,Judy Chu,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.9999385324625433,6.146753745678063e-05,0.9998770649250865,16267.750000000002,0.9998770649250865,16267.750000000002,1.0,0.0,1.0,0.0,51.9,11.5,13.4,34.5,1.3,6.2,16.7,41.3,3.8,87.6,58.4,71.3,8.1,5.6,25.1,16.1,354700,49529,8.9,0.7149278600168228
CA_33_2010,33,CA,2010,democrat,131990.0,153333.0,Karen Bass,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.8756863112526937,0.12431368874730629,0.7513726225053874,7.044166415435634,0.7513726225053874,7.044166415435634,1.0,0.0,1.0,0.0,52.2,11.9,17.5,34.7,2.8,15.5,33.5,52.7,4.0,85.0,58.6,51.1,9.1,13.3,28.8,22.2,488000,41538,7.4,0.5502644616231481
CA_34_2010,34,CA,2010,democrat,69382.0,89839.0,Lucille Roybal-Allard,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7709460041168046,0.22905399588319544,0.5418920082336092,3.3657828196542066,0.5418920082336092,3.3657828196542066,1.0,0.0,1.0,0.0,49.6,12.1,15.4,31.3,2.3,10.6,12.0,42.7,2.5,87.2,86.6,80.5,8.8,10.9,34.7,27.2,351700,36270,12.4,0.7940529032796694
CA_35_2010,35,CA,2010,democrat,98131.0,123694.0,Maxine Waters,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.8258233422244617,0.132375574408886,0.6934477678155757,6.238487318465804,0.6934477678155757,6.238487318465804,1.0,0.0,1.0,0.0,51.8,11.6,15.8,31.4,2.2,10.6,18.3,50.6,4.4,88.0,83.1,57.4,7.9,9.1,29.1,24.7,344700,41271,13.8,0.504670074403012
CA_36_2010,36,CA,2010,democrat,114489.0,192035.0,Jane Harman,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.6864438243290178,0.3135561756709822,0.37288764865803564,2.189221190939995,0.37288764865803564,2.189221190939995,1.0,0.0,1.0,0.0,50.0,8.7,16.3,36.5,2.8,15.6,43.8,33.1,6.1,83.5,47.3,41.0,7.2,3.7,16.3,13.2,634000,65717,4.3,0.3756096032094277
CA_37_2010,37,CA,2010,democrat,85799.0,125518.0,Laura Richardson,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7494465113094287,0.24407139433501474,0.5053751169744141,3.070603637723851,0.5053751169744141,3.070603637723851,1.0,0.0,1.0,0.0,50.5,12.5,14.8,31.8,2.9,12.4,19.3,56.3,5.4,82.1,70.0,53.6,10.4,7.5,23.8,20.3,325900,46950,13.4,0.42083292072399187
