Poll,Date,Sample,Democrats,Republicans,Spread
BloombergBloomberg,6/11 - 6/16,--,36,36,Tie
BattlegroundBattleground,6/9 - 6/11,--,39,44,Democrats +5
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,6/8 - 6/10,--,33,35,Democrats +2
ZogbyZogby,5/28 - 5/30,--,34,34,Tie
CNN/USA Today/GallupCNN/USA Today/Gallup,5/28 - 5/29,--,46,45,Republicans +1
CNN/TimeCNN/Time,5/22 - 5/23,--,44,48,Democrats +4
Democracy Corps (D)Democracy Corps (D),5/14 - 5/16,--,44,45,Democrats +1
CBS News/NY TimesCBS News/NY Times,5/13 - 5/14,--,40,40,Tie
BloombergBloomberg,4/30 - 5/5,--,34,38,Democrats +4
CNN/USA Today/GallupCNN/USA Today/Gallup,4/29 - 5/1,--,44,48,Democrats +4
ZogbyZogby,4/19 - 4/22,--,30,36,Democrats +6
CNN/TimeCNN/Time,4/10 - 4/11,--,42,45,Democrats +3
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,4/5 - 4/7,--,33,32,Republicans +1
CNN/USA Today/GallupCNN/USA Today/Gallup,4/5 - 4/7,--,43,50,Democrats +7
ZogbyZogby,3/25 - 3/27,--,33,31,Republicans +2
CNN/USA Today/GallupCNN/USA Today/Gallup,3/22 - 3/24,--,46,46,Tie
Ipsos/ReidIpsos/Reid,3/14 - 3/17,--,39,44,Democrats +5
ZogbyZogby,3/8 - 3/10,--,32,33,Democrats +1
American Viewpt. (R)American Viewpt. (R),3/6 - 3/11,--,35,34,Republicans +1
ZogbyZogby,3/1 - 3/3,--,29,33,Democrats +4
Cook Political ReportCook Political Report,2/17 - 3/3,--,42,41,Republicans +1
Democracy Corps (D)Democracy Corps (D),2/26 - 3/3,--,44,44,Tie
FOX NewsFOX News,2/26 - 2/27,--,40,32,Republicans +8
CBS News/NY TimesCBS News/NY Times,2/24 - 2/26,--,40,40,Tie
Pew ResearchPew Research,2/12 - 2/18,--,46,45,Republicans +1
CNN/USA Today/GallupCNN/USA Today/Gallup,2/8 - 2/10,--,47,43,Republicans +4
LA TimesLA Times,1/31 - 2/3,--,41,47,Democrats +6
ZogbyZogby,1/29 - 1/31,--,32,32,Tie
CNN/USA Today/GallupCNN/USA Today/Gallup,1/25 - 1/27,--,46,44,Republicans +2
ABC News/Wash PostABC News/Wash Post,1/24 - 1/27,--,50,43,Republicans +7
CNN/TimeCNN/Time,1/23 - 1/24,--,43,47,Democrats +4
Democracy Corps (D)Democracy Corps (D),1/21 - 1/24,--,45,45,Tie
CBS News/NY TimesCBS News/NY Times,1/21 - 1/24,--,37,39,Democrats +2
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,1/18 - 1/21,--,34,33,Republicans +1
CNN/USA Today/GallupCNN/USA Today/Gallup,1/11 - 1/14,--,46,43,Republicans +3
