Poll,Date,Sample,Democrats (D),Republicans (R),Spread
QuinnipiacQuinnipiac,4/20 - 4/24,1193 RV,48,40,Democrats +8
Reuters/IpsosReuters,4/20 - 4/24,1248 RV,45,34,Democrats +11
Economist/YouGovEconomist,4/15 - 4/17,1274 RV,43,38,Democrats +5
NPR/PBS/MaristNPR/PBS/Marist,4/10 - 4/13,827 RV,44,39,Democrats +5
Reuters/IpsosReuters,4/13 - 4/17,1238 RV,44,34,Democrats +10
ABC News/Wash PostABC/WP,4/8 - 4/11,865 RV,47,43,Democrats +4
NBC News/Wall St. JrnlNBC/WSJ,4/8 - 4/11,900 A,47,40,Democrats +7
Economist/YouGovEconomist,4/8 - 4/10,1292 RV,44,36,Democrats +8
Rasmussen ReportsRasmussen,4/8 - 4/9,1000 LV,45,40,Democrats +5
QuinnipiacQuinnipiac,4/6 - 4/9,1181 RV,46,43,Democrats +3
Reuters/IpsosReuters,4/6 - 4/10,1219 RV,44,34,Democrats +10
Economist/YouGovEconomist,4/1 - 4/3,1246 RV,43,36,Democrats +7
Reuters/IpsosReuters,3/30 - 4/3,1519 RV,43,34,Democrats +9
Harvard-HarrisHarvard-Harris,3/27 - 3/29,1340 RV,45,34,Democrats +11
Reuters/IpsosReuters,3/23 - 3/27,1392 RV,42,35,Democrats +7
Economist/YouGovEconomist,3/25 - 3/27,1330 RV,42,35,Democrats +7
CNNCNN,3/22 - 3/25,913 RV,50,44,Democrats +6
PPP (D)PPP (D),3/23 - 3/25,846 RV,50,39,Democrats +11
MaristMarist,3/19 - 3/21,1015 RV,44,39,Democrats +5
FOX NewsFOX News,3/18 - 3/21,1014 RV,46,41,Democrats +5
Economist/YouGovEconomist,3/18 - 3/20,1284 RV,44,38,Democrats +6
QuinnipiacQuinnipiac,3/16 - 3/20,1291 RV,49,43,Democrats +6
Reuters/IpsosReuters,3/16 - 3/20,1337 RV,40,37,Democrats +3
NBC News/Wall St. JrnlNBC/WSJ,3/10 - 3/14,930 RV,50,40,Democrats +10
Economist/YouGovEconomist,3/10 - 3/13,1291 RV,43,38,Democrats +5
Reuters/IpsosReuters,3/9 - 3/13,1411 A,38,30,Democrats +8
GWU/BattlegroundGWU/Battleground,3/4 - 3/8,1000 RV,49,40,Democrats +9
Economist/YouGovEconomist,3/4 - 3/6,1310 RV,43,37,Democrats +6
Reuters/IpsosReuters,3/2 - 3/6,2927 A,38,31,Democrats +7
QuinnipiacQuinnipiac,3/3 - 3/5,1122 RV,48,38,Democrats +10
MonmouthMonmouth,3/2 - 3/5,708 RV,50,41,Democrats +9
Rasmussen ReportsRasmussen,3/1 - 3/4,1000 LV,46,40,Democrats +6
Economist/YouGovEconomist,2/25 - 2/27,1296 RV,40,38,Democrats +2
Reuters/IpsosReuters,2/23 - 2/27,1651 A,37,31,Democrats +6
USA Today/SuffolkUSA Today,2/20 - 2/24,1000 RV,47,32,Democrats +15
CNNCNN,2/20 - 2/23,909 RV,54,38,Democrats +16
MaristMarist,2/20 - 2/21,819 RV,46,39,Democrats +7
Economist/YouGovEconomist,2/18 - 2/20,1308 RV,43,35,Democrats +8
Reuters/IpsosReuters,2/16 - 2/20,1104 A,38,30,Democrats +8
Harvard-HarrisHarvard-Harris,2/16 - 2/19,1934 RV,41,36,Democrats +5
QuinnipiacQuinnipiac,2/16 - 2/19,1249 RV,53,38,Democrats +15
Economist/YouGovEconomist,2/11 - 2/13,1280 RV,42,38,Democrats +4
Reuters/IpsosReuters,2/9 - 2/13,1515 A,39,30,Democrats +9
PPP (D)PPP (D),2/9 - 2/11,687 RV,49,41,Democrats +8
MaristMarist,2/5 - 2/7,807 RV,49,38,Democrats +11
Economist/YouGovEconomist,2/4 - 2/6,1320 RV,43,37,Democrats +6
Reuters/IpsosReuters,2/2 - 2/6,3110 A,38,31,Democrats +7
QuinnipiacQuinnipiac,2/2 - 2/5,1333 RV,49,40,Democrats +9
IBD/TIPPIBD/TIPP,1/25 - 2/2,832 RV,46,41,Democrats +5
MonmouthMonmouth,1/28 - 1/30,711 RV,47,45,Democrats +2
Economist/YouGovEconomist,1/28 - 1/30,1264 RV,42,37,Democrats +5
Reuters/IpsosReuters,1/26 - 1/30,1856 A,37,31,Democrats +6
Rasmussen ReportsRasmussen,1/24 - 1/25,1000 LV,45,37,Democrats +8
FOX NewsFOX News,1/21 - 1/23,1002 RV,44,38,Democrats +6
Economist/YouGovEconomist,1/21 - 1/23,1301 RV,41,37,Democrats +4
QuinnipiacQuinnipiac,1/19 - 1/23,1245 RV,51,38,Democrats +13
Reuters/IpsosReuters,1/19 - 1/23,2981 A,38,30,Democrats +8
ABC News/Wash PostABC/WP,1/15 - 1/18,846 RV,51,39,Democrats +12
CNNCNN,1/14 - 1/18,RV,49,44,Democrats +5
NBC News/Wall St. JrnlNBC/WSJ,1/13 - 1/17,765 RV,49,43,Democrats +6
Economist/YouGovEconomist,1/14 - 1/16,1311 RV,42,36,Democrats +6
Reuters/IpsosReuters,1/12 - 1/16,1638 A,37,32,Democrats +5
QuinnipiacQuinnipiac,1/12 - 1/16,1212 RV,50,39,Democrats +11
Pew ResearchPew,1/10 - 1/15,1215 RV,53,39,Democrats +14
NPR/PBS/MaristNPR/PBS/Marist,1/8 - 1/10,1092 RV,46,40,Democrats +6
EmersonEmerson,1/8 - 1/11,600 RV,45,40,Democrats +5
Economist/YouGovEconomist,1/8 - 1/9,1327 RV,44,37,Democrats +7
QuinnipiacQuinnipiac,1/5 - 1/9,1106 RV,52,35,Democrats +17
Reuters/IpsosReuters,1/5 - 1/9,1616 A,40,31,Democrats +9
Economist/YouGovEconomist,12/31 - 1/2,1277 RV,42,36,Democrats +6
Reuters/IpsosReuters,12/29 - 1/2,1770 A,38,31,Democrats +7
Economist/YouGovEconomist,12/24 - 12/26,1004 RV,44,36,Democrats +8
Economist/YouGovEconomist,12/17 - 12/19,1291 RV,44,35,Democrats +9
Reuters/IpsosReuters,12/15 - 12/19,2492 A,39,27,Democrats +12
QuinnipiacQuinnipiac,12/13 - 12/18,1230 RV,52,37,Democrats +15
CNNCNN,12/14 - 12/17,898 RV,56,38,Democrats +18
NBC News/Wall St. JrnlNBC/WSJ,12/13 - 12/15,736 RV,50,39,Democrats +11
PPP (D)PPP (D),12/11 - 12/12,862 RV,51,40,Democrats +11
Economist/YouGovEconomist,12/10 - 12/12,1338 RV,44,36,Democrats +8
MonmouthMonmouth,12/10 - 12/12,702 RV,51,36,Democrats +15
Reuters/IpsosReuters,12/8 - 12/12,1457 A,37,29,Democrats +8
QuinnipiacQuinnipiac,12/6 - 12/11,1211 RV,49,37,Democrats +12
MaristMarist,12/4 - 12/7,1079 RV,50,37,Democrats +13
Economist/YouGovEconomist,12/3 - 12/5,1341 RV,42,36,Democrats +6
Reuters/IpsosReuters,12/1 - 12/5,1548 A,37,31,Democrats +6
QuinnipiacQuinnipiac,11/29 - 12/4,1508 RV,50,36,Democrats +14
Economist/YouGovEconomist,11/26 - 11/28,1319 RV,41,35,Democrats +6
Reuters/IpsosReuters,11/24 - 11/28,1969 A,36,30,Democrats +6
Economist/YouGovEconomist,11/19 - 11/21,1344 RV,42,33,Democrats +9
Reuters/IpsosReuters,11/17 - 11/22,1489 A,37,28,Democrats +9
NPR/PBS/MaristNPR/PBS/Marist,11/13 - 11/15,802 RV,43,40,Democrats +3
Economist/YouGovEconomist,11/12 - 11/14,1281 RV,42,34,Democrats +8
Reuters/IpsosReuters,11/10 - 11/14,1520 A,38,31,Democrats +7
QuinnipiacQuinnipiac,11/7 - 11/13,1577 RV,51,38,Democrats +13
MaristMarist,11/6 - 11/9,850 RV,51,36,Democrats +15
Economist/YouGovEconomist,11/5 - 11/7,1336 RV,40,33,Democrats +7
Reuters/IpsosReuters,11/3 - 11/7,1572 A,38,30,Democrats +8
ABC News/Wash PostABC/WP,10/29 - 11/1,884 RV,51,40,Democrats +11
Economist/YouGovEconomist,10/29 - 10/31,1291 RV,39,36,Democrats +3
Reuters/IpsosReuters,10/27 - 10/31,1798 A,40,31,Democrats +9
PPP (D)PPP (D),10/27 - 10/29,572 RV,50,40,Democrats +10
NBC News/Wall St. JrnlNBC/WSJ,10/23 - 10/26,753 RV,48,41,Democrats +7
Economist/YouGovEconomist,10/22 - 10/24,1312 RV,40,33,Democrats +7
FOX NewsFOX News,10/22 - 10/24,1005 RV,50,35,Democrats +15
Reuters/IpsosReuters,10/20 - 10/24,2352 A,36,28,Democrats +8
Economist/YouGovEconomist,10/15 - 10/16,1326 RV,41,33,Democrats +8
CNNCNN,10/12 - 10/15,RV,54,38,Democrats +16
Economist/YouGovEconomist,10/7 - 10/10,1278 RV,40,33,Democrats +7
QuinnipiacQuinnipiac,10/5 - 10/10,1482 RV,49,41,Democrats +8
Economist/YouGovEconomist,10/1 - 10/3,1298 RV,39,32,Democrats +7
Economist/YouGovEconomist,9/24 - 9/26,1254 RV,40,34,Democrats +6
QuinnipiacQuinnipiac,9/21 - 9/26,1412 RV,47,38,Democrats +9
PPP (D)PPP (D),9/22 - 9/25,865 RV,48,37,Democrats +11
Economist/YouGovEconomist,9/17 - 9/19,1292 RV,39,33,Democrats +6
NBC News/Wall St. JrnlNBC/WSJ,9/14 - 9/18,751 RV,48,42,Democrats +6
Economist/YouGovEconomist,9/10 - 9/12,1313 RV,40,31,Democrats +9
Economist/YouGovEconomist,9/3 - 9/5,1309 RV,39,33,Democrats +6
Economist/YouGovEconomist,8/27 - 8/29,1278 RV,40,32,Democrats +8
Economist/YouGovEconomist,8/20 - 8/22,1327 RV,39,33,Democrats +6
QuinnipiacQuinnipiac,8/17 - 8/22,1514 RV,50,38,Democrats +12
PPP (D)PPP (D),8/18 - 8/21,887 RV,49,35,Democrats +14
GWU/BattlegroundGWU/Battleground,8/13 - 8/17,1000 RV,45,38,Democrats +7
Economist/YouGovEconomist,8/13 - 8/15,1291 RV,41,33,Democrats +8
QuinnipiacQuinnipiac,8/9 - 8/15,1361 RV,50,40,Democrats +10
MaristMarist,8/8 - 8/12,883 RV,47,40,Democrats +7
Economist/YouGovEconomist,8/6 - 8/8,1303 RV,39,34,Democrats +5
CNNCNN,8/3 - 8/6,RV,51,42,Democrats +9
Economist/YouGovEconomist,7/31 - 8/1,1329 RV,39,34,Democrats +5
QuinnipiacQuinnipiac,7/27 - 8/1,1125 RV,52,38,Democrats +14
Economist/YouGovEconomist,7/23 - 7/25,1282 RV,40,34,Democrats +6
Economist/YouGovEconomist,7/15 - 7/18,1273 RV,40,34,Democrats +6
ABC News/Wash PostABC/WP,7/10 - 7/13,RV,52,38,Democrats +14
Economist/YouGovEconomist,7/9 - 7/11,1284 RV,39,32,Democrats +7
Economist/YouGovEconomist,7/3 - 7/4,1323 RV,37,35,Democrats +2
FOX NewsFOX News,6/25 - 6/27,1017 RV,47,41,Democrats +6
Economist/YouGovEconomist,6/25 - 6/27,1295 RV,41,35,Democrats +6
QuinnipiacQuinnipiac,6/22 - 6/27,1212 RV,51,41,Democrats +10
NPR/PBS/MaristNPR/PBS/Marist,6/21 - 6/25,995 RV,48,38,Democrats +10
Economist/YouGovEconomist,6/18 - 6/20,1277 RV,38,35,Democrats +3
NBC News/Wall St. JrnlNBC/WSJ,6/17 - 6/20,765 RV,50,42,Democrats +8
Economist/YouGovEconomist,6/11 - 6/13,1310 RV,38,36,Democrats +2
PPP (D)PPP (D),6/9 - 6/11,811 RV,50,40,Democrats +10
Economist/YouGovEconomist,6/4 - 6/6,1288 RV,41,37,Democrats +4
QuinnipiacQuinnipiac,5/31 - 6/6,1361 RV,51,39,Democrats +12
Economist/YouGovEconomist,5/27 - 5/30,1269 RV,39,33,Democrats +6
QuinnipiacQuinnipiac,5/4 - 5/9,1078 RV,54,38,Democrats +16
Economist/YouGovEconomist,5/20 - 5/23,1276 RV,38,36,Democrats +2
Economist/YouGovEconomist,5/13 - 5/16,1298 RV,40,33,Democrats +7
PPP (D)PPP (D),5/12 - 5/14,692 RV,49,38,Democrats +11
Economist/YouGovEconomist,5/6 - 5/9,1287 RV,40,35,Democrats +5
Economist/YouGovEconomist,4/29 - 5/2,1255 RV,38,35,Democrats +3
FOX NewsFOX News,4/23 - 4/25,1009 RV,47,42,Democrats +5
Economist/YouGovEconomist,4/23 - 4/25,1289 RV,39,34,Democrats +5
CNN/ORCCNN/ORC,4/22 - 4/25,RV,49,41,Democrats +8
NBC News/Wall St. JrnlNBC/WSJ,4/17 - 4/20,759 RV,47,43,Democrats +4
PPP (D)PPP (D),4/17 - 4/18,648 RV,47,41,Democrats +6
Economist/YouGovEconomist,4/15 - 4/18,1291 RV,38,32,Democrats +6
MaristMarist,4/11 - 4/12,869 RV,45,38,Democrats +7
PPP (D)PPP (D),3/27 - 3/28,677 RV,48,43,Democrats +5
McClatchy/MaristMcClatchy,3/22 - 3/27,906 RV,47,38,Democrats +9
PPP (D)PPP (D),3/10 - 3/12,808 RV,46,41,Democrats +5
PPP (D)PPP (D),2/21 - 2/22,941 RV,46,43,Democrats +3
PPP (D)PPP (D),1/23 - 1/24,1043 RV,48,40,Democrats +8
